Gene stable ID	Gene name	Chromosome/scaffold name
WBGene00050646	21ur-707	IV
WBGene00050647	21ur-878	IV
WBGene00050648	21ur-2370	IV
WBGene00050649	21ur-446	IV
WBGene00050650	21ur-1587	IV
WBGene00050651	21ur-4167	IV
WBGene00050652	21ur-4746	IV
WBGene00050653	21ur-4572	IV
WBGene00050654	21ur-434	IV
WBGene00050655	21ur-3637	IV
WBGene00050656	21ur-4347	IV
WBGene00050657	21ur-735	IV
WBGene00050658	21ur-5098	IV
WBGene00050659	21ur-1142	IV
WBGene00050660	21ur-4979	IV
WBGene00050661	21ur-2306	IV
WBGene00050662	21ur-495	IV
WBGene00050663	21ur-3701	IV
WBGene00050664	21ur-1492	IV
WBGene00050665	21ur-4689	IV
WBGene00050666	21ur-1803	IV
WBGene00050667	21ur-4598	IV
WBGene00050668	21ur-625	IV
WBGene00050669	21ur-4957	IV
WBGene00050670	21ur-1061	IV
WBGene00050671	21ur-4929	IV
WBGene00050672	21ur-2095	IV
WBGene00050673	21ur-3910	IV
WBGene00050674	21ur-3033	IV
WBGene00050675	21ur-3727	IV
WBGene00050676	21ur-1720	IV
WBGene00050677	21ur-1997	IV
WBGene00050678	21ur-2745	IV
WBGene00050679	21ur-3791	IV
WBGene00050680	21ur-271	IV
WBGene00050681	21ur-1614	IV
WBGene00050682	21ur-4461	IV
WBGene00050683	21ur-1709	IV
WBGene00050684	21ur-405	IV
WBGene00050685	21ur-1970	IV
WBGene00050686	21ur-2116	IV
WBGene00050687	21ur-1094	IV
WBGene00050688	21ur-379	IV
WBGene00050689	21ur-4564	IV
WBGene00050690	21ur-16	IV
WBGene00050691	21ur-1685	IV
WBGene00050692	21ur-4005	IV
WBGene00050693	21ur-4769	IV
WBGene00050694	21ur-4703	IV
WBGene00050695	21ur-4238	IV
WBGene00050696	21ur-2730	IV
WBGene00050697	21ur-4557	IV
WBGene00050698	21ur-1281	IV
WBGene00050699	21ur-1121	IV
WBGene00050700	21ur-2574	IV
WBGene00050701	21ur-1846	IV
WBGene00050702	21ur-2432	IV
WBGene00050703	21ur-1695	IV
WBGene00050704	21ur-3519	IV
WBGene00050705	21ur-4140	IV
WBGene00050706	21ur-2793	IV
WBGene00050707	21ur-5290	IV
WBGene00050708	21ur-2010	IV
WBGene00050709	21ur-3859	IV
WBGene00050710	21ur-5322	IV
WBGene00050711	21ur-5269	IV
WBGene00050712	21ur-2781	IV
WBGene00050713	21ur-4883	IV
WBGene00050714	21ur-359	IV
WBGene00050715	21ur-5084	IV
WBGene00050716	21ur-1287	IV
WBGene00050717	21ur-1432	IV
WBGene00050718	21ur-3155	IV
WBGene00050719	21ur-3198	IV
WBGene00050720	21ur-4412	IV
WBGene00050721	21ur-1459	IV
WBGene00050722	21ur-4905	IV
WBGene00050723	21ur-1518	IV
WBGene00050724	21ur-3610	IV
WBGene00050725	21ur-4866	IV
WBGene00050726	21ur-4895	IV
WBGene00050727	21ur-4894	IV
WBGene00050728	21ur-5182	IV
WBGene00050729	21ur-2478	IV
WBGene00050730	21ur-4692	IV
WBGene00050731	21ur-1573	IV
WBGene00050732	21ur-450	IV
WBGene00050733	21ur-5232	IV
WBGene00050734	21ur-1027	IV
WBGene00050735	21ur-2273	IV
WBGene00050736	21ur-4697	IV
WBGene00050737	21ur-3757	IV
WBGene00050738	21ur-502	IV
WBGene00050739	21ur-1717	IV
WBGene00050740	21ur-2053	IV
WBGene00050741	21ur-3459	IV
WBGene00050742	21ur-3025	IV
WBGene00050743	21ur-1510	IV
WBGene00050744	21ur-348	IV
WBGene00050745	21ur-831	IV
WBGene00050746	21ur-1990	IV
WBGene00050747	21ur-2523	IV
WBGene00050748	21ur-659	IV
WBGene00050749	21ur-2548	IV
WBGene00050750	21ur-3394	IV
WBGene00050751	21ur-5004	IV
WBGene00050752	21ur-2754	IV
WBGene00050753	21ur-652	IV
WBGene00050754	21ur-3582	IV
WBGene00050755	21ur-5390	IV
WBGene00050756	21ur-1404	IV
WBGene00050757	21ur-4294	IV
WBGene00050758	21ur-922	IV
WBGene00050759	21ur-2342	IV
WBGene00050760	21ur-2989	IV
WBGene00050761	21ur-1700	IV
WBGene00050762	21ur-3760	IV
WBGene00050763	21ur-5068	IV
WBGene00050764	21ur-686	IV
WBGene00050765	21ur-5311	IV
WBGene00050766	21ur-1365	IV
WBGene00050767	21ur-5130	IV
WBGene00050768	21ur-5032	IV
WBGene00050769	21ur-2689	IV
WBGene00050770	21ur-79	IV
WBGene00050771	21ur-2557	IV
WBGene00050772	21ur-883	IV
WBGene00050773	21ur-4507	IV
WBGene00050774	21ur-4838	IV
WBGene00050775	21ur-2214	IV
WBGene00050776	21ur-334	IV
WBGene00050777	21ur-5159	IV
WBGene00050778	21ur-4964	IV
WBGene00050779	21ur-4374	IV
WBGene00050780	21ur-3442	IV
WBGene00050781	21ur-5270	IV
WBGene00050782	21ur-2365	IV
WBGene00050783	21ur-2201	IV
WBGene00050784	21ur-587	IV
WBGene00050785	21ur-2178	IV
WBGene00050786	21ur-1271	IV
WBGene00050787	21ur-119	IV
WBGene00050788	21ur-4941	IV
WBGene00050789	21ur-4526	IV
WBGene00050790	21ur-4777	IV
WBGene00050791	21ur-2565	IV
WBGene00050792	21ur-440	IV
WBGene00050793	21ur-1980	IV
WBGene00050794	21ur-748	IV
WBGene00050795	21ur-2037	IV
WBGene00050796	21ur-386	IV
WBGene00050797	21ur-3504	IV
WBGene00050798	21ur-5154	IV
WBGene00050799	21ur-3691	IV
WBGene00050800	21ur-1114	IV
WBGene00050801	21ur-3051	IV
WBGene00050802	21ur-1605	IV
WBGene00050803	21ur-2542	IV
WBGene00050804	21ur-4504	IV
WBGene00050805	21ur-4333	IV
WBGene00050806	21ur-5443	IV
WBGene00050807	21ur-4516	IV
WBGene00050808	21ur-3070	IV
WBGene00050809	21ur-778	IV
WBGene00050810	21ur-3177	IV
WBGene00050811	21ur-4024	IV
WBGene00050812	21ur-4492	IV
WBGene00050813	21ur-891	IV
WBGene00050814	21ur-2986	IV
WBGene00050815	21ur-3991	IV
WBGene00050816	21ur-4709	IV
WBGene00050817	21ur-4583	IV
WBGene00050818	21ur-1551	IV
WBGene00050819	21ur-3841	IV
WBGene00050820	21ur-5160	IV
WBGene00050821	21ur-3234	IV
WBGene00050822	21ur-2682	IV
WBGene00050823	21ur-5039	IV
WBGene00050824	21ur-1908	IV
WBGene00050825	21ur-2545	IV
WBGene00050826	21ur-4455	IV
WBGene00050827	21ur-3483	IV
WBGene00050828	21ur-3487	IV
WBGene00050829	21ur-5405	IV
WBGene00050830	21ur-2444	IV
WBGene00050831	21ur-4533	IV
WBGene00050832	21ur-3006	IV
WBGene00050833	21ur-3278	IV
WBGene00050834	21ur-4719	IV
WBGene00050835	21ur-3461	IV
WBGene00050836	21ur-1568	IV
WBGene00050837	21ur-1890	IV
WBGene00050838	21ur-4252	IV
WBGene00050839	21ur-339	IV
WBGene00050840	21ur-1597	IV
WBGene00050841	21ur-317	IV
WBGene00050842	21ur-4034	IV
WBGene00050843	21ur-5219	IV
WBGene00050844	21ur-3402	IV
WBGene00050845	21ur-3514	IV
WBGene00050846	21ur-1733	IV
WBGene00050847	21ur-952	IV
WBGene00050848	21ur-5381	IV
WBGene00050849	21ur-5422	IV
WBGene00050850	21ur-3961	IV
WBGene00050851	21ur-2770	IV
WBGene00050852	21ur-2138	IV
WBGene00050853	21ur-4218	IV
WBGene00050854	21ur-1520	IV
WBGene00050855	21ur-671	IV
WBGene00050856	21ur-1215	IV
WBGene00050857	21ur-3116	IV
WBGene00050858	21ur-3063	IV
WBGene00050859	21ur-3263	IV
WBGene00050860	21ur-4211	IV
WBGene00050861	21ur-3412	IV
WBGene00050862	21ur-5288	IV
WBGene00050863	21ur-1576	IV
WBGene00050864	21ur-3508	IV
WBGene00050865	21ur-4862	IV
WBGene00050866	21ur-326	IV
WBGene00050867	21ur-979	IV
WBGene00050868	21ur-5023	IV
WBGene00050869	21ur-2916	IV
WBGene00050870	21ur-4922	IV
WBGene00050871	21ur-5108	IV
WBGene00050873	21ur-1607	IV
WBGene00050874	21ur-1635	IV
WBGene00050875	bah-1	I
WBGene00050878	Y71A12C.3	I
WBGene00050879	D1081.11	I
WBGene00050880	F32H2.12	I
WBGene00050881	ZK39.10	I
WBGene00050883	Y102A5C.38	V
WBGene00050884	Y69H2.15	V
WBGene00050885	Y94H6A.12	IV
WBGene00050889	T04C12.9	V
WBGene00050890	F17C11.16	V
WBGene00050891	C08E8.9	V
WBGene00050892	ttr-57	V
WBGene00050893	Y94A7B.11	V
WBGene00050894	F49H6.15	V
WBGene00050896	ttr-56	I
WBGene00050897	C47A10.13	V
WBGene00050898	T19B10.12	V
WBGene00050899	T10C6.15	V
WBGene00050900	ZK228.11	V
WBGene00050902	T26F2.4	V
WBGene00050903	Y17D7C.4	V
WBGene00050904	Y70C5A.3	V
WBGene00050906	F20E11.17	V
WBGene00050907	Y51A2B.9	V
WBGene00050910	Y43F8B.17	V
WBGene00050911	Y43F8B.18	V
WBGene00050912	F43E2.12	II
WBGene00050913	T12B5.14	III
WBGene00050914	T12B5.15	III
WBGene00050915	Y6E2A.10	V
WBGene00050916	F55F10.3	IV
WBGene00050917	Y53G8AL.4	III
WBGene00050919	C45G9.15	III
WBGene00050920	Y54H5A.5	III
WBGene00050921	mir-1019	I
WBGene00050922	mir-1020	III
WBGene00050923	mir-1021	IV
WBGene00050924	mir-1018	X
WBGene00050926	B0250.11	V
WBGene00050927	B0250.12	V
WBGene00050928	F49H6.16	V
WBGene00050929	F58D12.5	V
WBGene00050930	T08G5.13	V
WBGene00050931	F59B2.14	III
WBGene00050932	F46B3.19	V
WBGene00050933	T19C9.9	V
WBGene00050934	T19C9.10	V
WBGene00050935	Y37H2A.16	V
WBGene00050936	ZK856.16	V
WBGene00050937	R02D5.8	V
WBGene00050938	F23H12.11	V
WBGene00050939	C05G5.7	X
WBGene00050940	C25D7.16	V
WBGene00050941	C33F10.14	II
WBGene00050943	ZC412.10	V
WBGene00050944	C14A11.9	X
WBGene00050945	C45B11.7	V
WBGene00050946	M162.12	V
WBGene00050947	K07C5.13	V
WBGene00050948	Y48B6A.16	II
WBGene00050949	K08G2.16	V
WBGene00050950	Y60A3A.28	V
WBGene00050951	T26H2.11	V
WBGene00050954	K06B4.14	V
WBGene00050955	C14A6.12	V
WBGene00050956	C14A6.13	V
WBGene00050957	C10A4.10	X
WBGene00050958	F28B1.10	V
WBGene00050959	F26F2.9	V
WBGene00050960	T03E6.10	V
WBGene00050961	T03E6.11	V
WBGene00050962	F49A5.11	V
WBGene00050963	ZK218.15	V
WBGene00050964	Y50E8A.18	V
WBGene00050965	F49H6.17	V
WBGene00050967	C25F9.15	V
WBGene00050968	R11G10.4	V
WBGene00050970	D2023.8	V
WBGene00050971	F11D11.15	V
WBGene00050972	T23D5.13	V
WBGene00050973	Y26G10.3	V
WBGene00050974	Y6G8.9	V
WBGene00050976	F28B1.11	V
WBGene00050977	F56H9.7	V
WBGene00077434	F46B3.20	V
WBGene00077436	F46B3.22	V
WBGene00077437	Y59H11AR.6	IV
WBGene00077438	C18D4.10	V
WBGene00077439	F55B12.10	V
WBGene00077440	Y75B12B.14	V
WBGene00077441	C43D7.10	V
WBGene00077442	F11D11.16	V
WBGene00077443	Y71A12B.19	I
WBGene00077444	F54B8.17	V
WBGene00077445	Y51A2A.12	V
WBGene00077446	F49A5.12	V
WBGene00077447	C14A6.14	V
WBGene00077448	D1086.20	V
WBGene00077449	C08B6.15	V
WBGene00077450	K06B4.15	V
WBGene00077451	Y69H2.16	V
WBGene00077452	Y62F5A.11	II
WBGene00077453	Y62F5A.12	II
WBGene00077454	Y17D7C.5	V
WBGene00077455	Y69H2.17	V
WBGene00077456	T23D5.14	V
WBGene00077457	Y39B6A.49	V
WBGene00077459	Y6G8.10	V
WBGene00077460	Y6G8.11	V
WBGene00077461	F12F6.11	IV
WBGene00077462	JC8.15	IV
WBGene00077463	T03E6.12	V
WBGene00077464	Y70C5B.2	V
WBGene00077465	rrn-4.2	V
WBGene00077466	rrn-4.3	V
WBGene00077467	rrn-4.4	V
WBGene00077468	rrn-4.5	V
WBGene00077469	rrn-4.6	V
WBGene00077470	rrn-4.7	V
WBGene00077471	rrn-4.8	V
WBGene00077472	rrn-4.9	V
WBGene00077473	rrn-4.10	V
WBGene00077474	rrn-4.11	V
WBGene00077475	rrn-4.12	V
WBGene00077476	rrn-4.13	V
WBGene00077477	rrn-4.14	V
WBGene00077478	sls-1.1	V
WBGene00077479	sls-1.2	V
WBGene00077480	sls-1.3	V
WBGene00077481	sls-1.4	V
WBGene00077482	sls-1.5	V
WBGene00077483	sls-1.6	V
WBGene00077484	sls-1.7	V
WBGene00077485	sls-1.8	V
WBGene00077486	sls-1.9	V
WBGene00077487	sls-1.11	V
WBGene00077488	sls-1.12	V
WBGene00077489	C04G6.13	II
WBGene00077490	M03A1.8	II
WBGene00077491	K08H10.10	V
WBGene00077492	F09C6.15	V
WBGene00077493	F09C6.16	V
WBGene00077494	F28B1.12	V
WBGene00077495	Y20C6A.4	V
WBGene00077496	F11A3.4	V
WBGene00077497	K06A4.10	V
WBGene00077498	R07B5.10	V
WBGene00077499	T11A5.8	V
WBGene00077500	C27H6.9	V
WBGene00077501	K08H10.11	V
WBGene00077502	AC3.11	V
WBGene00077503	AC3.12	V
WBGene00077504	AC3.13	V
WBGene00077506	F25D1.7	V
WBGene00077508	T27F6.10	I
WBGene00077510	Y42A5A.6	V
WBGene00077514	F07B10.7	V
WBGene00077515	E01A2.9	I
WBGene00077516	C50C3.13	III
WBGene00077517	C50C3.14	III
WBGene00077519	T27C10.8	I
WBGene00077520	C37A5.11	I
WBGene00077521	maf-1	I
WBGene00077522	T10D4.15	II
WBGene00077523	C23H5.12	IV
WBGene00077524	F36D1.11	I
WBGene00077525	C41G7.8	I
WBGene00077526	C25A1.16	I
WBGene00077527	C25A1.17	I
WBGene00077531	F40G9.15	III
WBGene00077534	F41D3.14	I
WBGene00077535	F15H9.7	I
WBGene00077536	F38B7.10	V
WBGene00077537	Y47H10A.6	I
WBGene00077538	T04F3.5	V
WBGene00077539	Y52B11A.12	I
WBGene00077543	F27D4.8	I
WBGene00077546	C01A2.9	I
WBGene00077548	F21C3.7	I
WBGene00077549	F11A6.3	I
WBGene00077551	H15N14.3	I
WBGene00077552	H15N14.4	I
WBGene00077553	C26C6.10	I
WBGene00077555	F28C12.8	I
WBGene00077556	Y18D10A.27	I
WBGene00077557	F15D3.9	I
WBGene00077558	T06D10.3	I
WBGene00077559	R05D7.7	I
WBGene00077561	W05H12.3	I
WBGene00077562	ZC443.7	V
WBGene00077563	peel-1	I
WBGene00077564	C44H9.9	V
WBGene00077565	W07G4.7	V
WBGene00077566	C34B4.6	V
WBGene00077567	Y2H9A.5	V
WBGene00077568	C56A3.10	V
WBGene00077569	F53F4.18	V
WBGene00077570	F55B12.11	V
WBGene00077571	T26F2.5	V
WBGene00077572	T08G5.14	V
WBGene00077573	T08G5.15	V
WBGene00077574	T08G5.16	V
WBGene00077575	F14D7.16	V
WBGene00077576	C15H11.13	V
WBGene00077577	R02D5.9	V
WBGene00077579	R11H6.7	V
WBGene00077580	R08A2.8	V
WBGene00077581	H12D21.16	V
WBGene00077582	F14H8.8	V
WBGene00077583	C01G10.18	V
WBGene00077584	C01G10.19	V
WBGene00077585	T01G5.8	V
WBGene00077586	T09F5.17	V
WBGene00077588	T26H8.5	V
WBGene00077589	R08H2.15	V
WBGene00077590	R08H2.16	V
WBGene00077592	T25B2.3	X
WBGene00077593	C49G7.12	V
WBGene00077594	nhr-151	V
WBGene00077595	K06B4.16	V
WBGene00077596	K06B4.17	V
WBGene00077597	T23D5.15	V
WBGene00077598	T23D5.16	V
WBGene00077599	T20F5.8	I
WBGene00077600	F54B8.18	V
WBGene00077601	T06C12.17	V
WBGene00077602	F35E8.15	V
WBGene00077603	T05G11.9	V
WBGene00077604	H24D24.3	V
WBGene00077605	F36G9.17	V
WBGene00077606	C06C6.10	V
WBGene00077607	T10C6.16	V
WBGene00077608	F22B8.9	V
WBGene00077609	F44G3.15	V
WBGene00077610	F44G3.16	V
WBGene00077611	F11A5.19	V
WBGene00077612	F21H7.15	V
WBGene00077613	F21H7.16	V
WBGene00077614	C31A11.12	V
WBGene00077615	T08G3.14	V
WBGene00077616	F57E7.4	V
WBGene00077617	F57E7.5	V
WBGene00077618	F57E7.6	V
WBGene00077619	F36D3.15	V
WBGene00077620	W06G6.16	V
WBGene00077621	Y70C5C.8	V
WBGene00077622	T25E12.14	V
WBGene00077624	Y102A5C.40	V
WBGene00077625	Y102A5C.41	V
WBGene00077626	Y102A5C.42	V
WBGene00077627	T19C9.11	V
WBGene00077629	K10G4.13	V
WBGene00077630	F31E9.10	V
WBGene00077631	T27C5.15	V
WBGene00077632	T27C5.16	V
WBGene00077633	T27C5.17	V
WBGene00077634	Y46G5A.41	II
WBGene00077635	Y46G5A.42	II
WBGene00077636	Y46G5A.43	II
WBGene00077637	Y6G8.12	V
WBGene00077638	Y6G8.13	V
WBGene00077640	Y26G10.4	V
WBGene00077641	Y94A7B.12	V
WBGene00077642	C14A6.15	V
WBGene00077643	trpp-1	V
WBGene00077644	Y37H2C.5	V
WBGene00077646	Y51A2A.14	V
WBGene00077647	Y51A2A.15	V
WBGene00077648	Y51A2B.10	V
WBGene00077649	Y51A2B.11	V
WBGene00077650	ZK262.14	V
WBGene00077651	ZK262.15	V
WBGene00077652	ZK228.12	V
WBGene00077653	Y51A2D.23	V
WBGene00077654	Y69H2.18	V
WBGene00077655	asp-19	V
WBGene00077656	F11D11.17	V
WBGene00077657	F11D11.18	V
WBGene00077658	M106.8	II
WBGene00077659	F11D11.19	V
WBGene00077660	Y17D7B.9	V
WBGene00077662	T26H2.12	V
WBGene00077663	F55C9.14	V
WBGene00077664	C43D7.11	V
WBGene00077666	M162.13	V
WBGene00077667	M162.14	V
WBGene00077669	Y38H6A.5	V
WBGene00077670	K02E2.9	V
WBGene00077671	K02E2.10	V
WBGene00077673	B0563.10	X
WBGene00077674	K02A6.4	X
WBGene00077679	K11E4.6	X
WBGene00077680	F54F7.10	X
WBGene00077681	Y44A6D.7	V
WBGene00077682	F58B4.7	V
WBGene00077684	Y26D4A.21	I
WBGene00077685	C04F12.12	I
WBGene00077686	T26E3.12	I
WBGene00077687	Y52B11A.14	I
WBGene00077688	Y43F8B.19	V
WBGene00077689	Y105E8A.34	I
WBGene00077690	mtp-18	X
WBGene00077691	T06E4.14	V
WBGene00077692	C08E8.10	V
WBGene00077693	T04C12.11	V
WBGene00077694	C43D7.12	V
WBGene00077695	F14D7.17	V
WBGene00077696	marc-1	V
WBGene00077697	F58E6.13	V
WBGene00077698	lurp-4	V
WBGene00077699	C45B11.8	V
WBGene00077701	poml-3	I
WBGene00077703	K08E5.5	III
WBGene00077704	F12A10.9	II
WBGene00077705	mir-1829.1	X
WBGene00077706	mir-1829.2	X
WBGene00077707	mir-1829.3	X
WBGene00077708	mir-1817	I
WBGene00077709	mir-1822	II
WBGene00077712	nipi-4	V
WBGene00077714	R102.11	IV
WBGene00077715	mir-1818	I
WBGene00077716	mir-1819	X
WBGene00077717	mir-1823	I
WBGene00077718	mir-1824	I
WBGene00077719	mir-1828	I
WBGene00077720	mir-1833	IV
WBGene00077721	mir-1022	X
WBGene00077722	mir-58.2	IV
WBGene00077723	mir-1830	II
WBGene00077724	mir-1831	II
WBGene00077725	mir-1832.1	III
WBGene00077726	mir-1820	IV
WBGene00077727	mir-1821	V
WBGene00077728	T23G11.11	I
WBGene00077732	szy-4	II
WBGene00077750	W01B6.11	IV
WBGene00077751	irld-27	II
WBGene00077752	Y105C5A.508	IV
WBGene00077753	R13.6	IV
WBGene00077754	Y116A8C.199	IV
WBGene00077755	Y40H7A.147	IV
WBGene00077756	Y11D7A.19	IV
WBGene00077757	E02H4.7	X
WBGene00077758	irld-12	V
WBGene00077759	irld-51	II
WBGene00077761	zip-9	V
WBGene00077762	Y57G11C.499	IV
WBGene00077763	glb-34	IV
WBGene00077764	F59C6.16	I
WBGene00077765	T20F10.8	I
WBGene00077766	rgba-1	I
WBGene00077767	F22D6.17	I
WBGene00077768	K04G2.12	I
WBGene00077769	F33E2.10	I
WBGene00077770	M04D5.3	I
WBGene00077771	tspo-1	I
WBGene00077772	T02G6.10	I
WBGene00077773	F25H5.10	I
WBGene00077775	nlp-58	V
WBGene00077781	F40E3.7	I
WBGene00077782	T26H10.2	V
WBGene00077783	D1054.18	V
WBGene00077784	F35C8.9	X
WBGene00077785	F35E2.11	I
WBGene00077786	F53F8.7	V
WBGene00077787	T05E12.10	V
WBGene00077788	W07G4.8	V
WBGene00077789	Y26D4A.22	I
WBGene00086546	cil-1	III
WBGene00086551	D2005.7	I
WBGene00086552	C17D12.9	I
WBGene00086553	ZC334.13	I
WBGene00086554	D1081.12	I
WBGene00086555	F49B2.7	I
WBGene00086556	F36D1.12	I
WBGene00086557	K07A12.8	I
WBGene00086558	F12E12.12	II
WBGene00086559	Y43F8B.20	V
WBGene00086560	ZK355.8	II
WBGene00086561	K01A2.12	II
WBGene00086562	T02G6.11	I
WBGene00086563	K08C9.9	I
WBGene00086564	K08C9.10	I
WBGene00086565	W06G6.17	V
WBGene00086566	C08H9.16	II
WBGene00086567	C05C10.8	II
WBGene00086568	Y2H9A.6	V
WBGene00086569	F38A6.5	V
WBGene00119201	C08E8.11	V
WBGene00119203	T04A8.18	III
WBGene00119204	ZC116.5	V
WBGene00138711	R07B1.13	X
WBGene00138714	T02D1.9	IV
WBGene00138715	Y6G8.14	V
WBGene00138716	F17B5.10	I
WBGene00138717	F52C12.6	IV
WBGene00138719	F26F2.10	V
WBGene00138720	F58H1.8	V
WBGene00138721	pals-37	V
WBGene00138724	F15B9.11	V
WBGene00164968	K08H2.10	X
WBGene00164969	K09C8.9	X
WBGene00164971	T21E8.6	X
WBGene00164972	T21E8.7	X
WBGene00164973	C39B10.7	X
WBGene00164974	F46C3.7	X
WBGene00164983	C36A4.12	III
WBGene00164985	ZK1010.10	III
WBGene00164986	Y48A6C.6	III
WBGene00164991	21ur-13442	IV
WBGene00164992	21ur-9698	IV
WBGene00164993	21ur-13666	IV
WBGene00164994	21ur-9733	IV
WBGene00164995	21ur-15156	IV
WBGene00164996	21ur-13838	IV
WBGene00164997	21ur-10879	IV
WBGene00164998	21ur-10162	IV
WBGene00164999	21ur-8062	IV
WBGene00165000	21ur-10875	IV
WBGene00165001	21ur-8807	IV
WBGene00165002	21ur-13275	IV
WBGene00165003	21ur-10772	IV
WBGene00165004	21ur-12132	IV
WBGene00165005	21ur-12650	IV
WBGene00165006	21ur-10780	IV
WBGene00165007	21ur-5517	IV
WBGene00165009	21ur-11798	IV
WBGene00165010	21ur-6438	IV
WBGene00165011	21ur-14214	IV
WBGene00165012	21ur-13773	IV
WBGene00165013	21ur-14731	IV
WBGene00165014	21ur-13331	IV
WBGene00165015	21ur-12098	IV
WBGene00165016	21ur-14343	IV
WBGene00165017	21ur-5533	IV
WBGene00165018	21ur-8237	IV
WBGene00165019	21ur-11415	IV
WBGene00165020	21ur-10381	IV
WBGene00165021	21ur-8417	IV
WBGene00165022	21ur-7663	IV
WBGene00165023	21ur-13460	IV
WBGene00165024	21ur-13551	IV
WBGene00165025	21ur-6855	IV
WBGene00165026	21ur-9589	I
WBGene00165027	21ur-11151	IV
WBGene00165028	21ur-6431	IV
WBGene00165029	21ur-9824	IV
WBGene00165030	21ur-5719	IV
WBGene00165031	21ur-9354	IV
WBGene00165032	21ur-7930	IV
WBGene00165033	21ur-14211	III
WBGene00165034	21ur-10350	IV
WBGene00165035	21ur-12577	IV
WBGene00165036	21ur-8400	IV
WBGene00165037	21ur-8299	IV
WBGene00165038	21ur-9842	IV
WBGene00165039	21ur-5880	IV
WBGene00165040	21ur-13486	IV
WBGene00165041	21ur-5951	IV
WBGene00165042	21ur-10453	IV
WBGene00165043	21ur-7485	IV
WBGene00165044	21ur-12258	V
WBGene00165045	21ur-8436	IV
WBGene00165046	21ur-10091	IV
WBGene00165047	21ur-12645	IV
WBGene00165048	21ur-7066	IV
WBGene00165049	21ur-15672	IV
WBGene00165050	21ur-14049	IV
WBGene00165051	21ur-14338	IV
WBGene00165052	21ur-12499	III
WBGene00165053	21ur-8229	IV
WBGene00165054	21ur-13726	IV
WBGene00165055	21ur-12136	IV
WBGene00165056	21ur-13558	IV
WBGene00165057	21ur-10440	IV
WBGene00165058	21ur-13038	IV
WBGene00165059	21ur-11728	IV
WBGene00165060	21ur-14285	IV
WBGene00165061	21ur-8284	IV
WBGene00165062	21ur-8433	IV
WBGene00165063	21ur-14301	IV
WBGene00165064	21ur-12835	IV
WBGene00165065	21ur-10741	IV
WBGene00165066	21ur-7502	IV
WBGene00165067	21ur-10237	IV
WBGene00165068	21ur-9218	IV
WBGene00165069	21ur-8833	IV
WBGene00165070	21ur-12888	IV
WBGene00165071	21ur-6770	IV
WBGene00165072	21ur-7604	IV
WBGene00165073	21ur-8215	IV
WBGene00165074	21ur-7800	IV
WBGene00165075	21ur-13468	IV
WBGene00165076	21ur-12485	V
WBGene00165077	21ur-11811	IV
WBGene00165078	21ur-10445	IV
WBGene00165079	21ur-10064	IV
WBGene00165080	21ur-14832	IV
WBGene00165081	21ur-8247	IV
WBGene00165082	21ur-15040	IV
WBGene00165083	21ur-12052	IV
WBGene00165084	21ur-12165	IV
WBGene00165085	21ur-5762	IV
WBGene00165086	21ur-9405	IV
WBGene00165087	21ur-11486	IV
WBGene00165088	21ur-7598	IV
WBGene00165089	21ur-6929	IV
WBGene00165090	21ur-6337	IV
WBGene00165091	21ur-13449	IV
WBGene00165092	21ur-15148	II
WBGene00165093	21ur-13001	IV
WBGene00165094	21ur-7868	IV
WBGene00165095	21ur-12977	I
WBGene00165096	21ur-10593	IV
WBGene00165097	21ur-14473	IV
WBGene00165098	21ur-12443	IV
WBGene00165099	21ur-12966	IV
WBGene00165100	21ur-7671	IV
WBGene00165101	21ur-5834	IV
WBGene00165102	21ur-14042	IV
WBGene00165103	21ur-6785	IV
WBGene00165104	21ur-14476	IV
WBGene00165105	21ur-6752	IV
WBGene00165106	21ur-12329	IV
WBGene00165107	21ur-9451	IV
WBGene00165108	21ur-7545	IV
WBGene00165109	21ur-14626	IV
WBGene00165110	21ur-9149	IV
WBGene00165111	21ur-8793	IV
WBGene00165112	21ur-14003	IV
WBGene00165113	21ur-7398	IV
WBGene00165114	21ur-6548	IV
WBGene00165115	21ur-9100	IV
WBGene00165116	21ur-10948	IV
WBGene00165117	21ur-12069	IV
WBGene00165118	21ur-6403	IV
WBGene00165119	21ur-15553	IV
WBGene00165120	21ur-8717	IV
WBGene00165121	21ur-9420	IV
WBGene00165122	21ur-7774	IV
WBGene00165123	21ur-10345	IV
WBGene00165124	21ur-9891	IV
WBGene00165125	21ur-14703	IV
WBGene00165126	21ur-12382	IV
WBGene00165127	21ur-5618	IV
WBGene00165128	21ur-7333	IV
WBGene00165129	21ur-8730	IV
WBGene00165130	21ur-14035	IV
WBGene00165131	21ur-14406	IV
WBGene00165132	21ur-6107	IV
WBGene00165133	21ur-12538	IV
WBGene00165134	21ur-11762	IV
WBGene00165135	21ur-10836	IV
WBGene00165136	21ur-8989	IV
WBGene00165137	21ur-15419	IV
WBGene00165138	21ur-15309	IV
WBGene00165139	21ur-14007	IV
WBGene00165140	21ur-13810	IV
WBGene00165141	21ur-15469	IV
WBGene00165142	21ur-12723	IV
WBGene00165143	21ur-10734	IV
WBGene00165144	21ur-6139	IV
WBGene00165146	21ur-7805	IV
WBGene00165147	21ur-7541	IV
WBGene00165148	21ur-14066	V
WBGene00165149	21ur-7918	IV
WBGene00165150	21ur-11855	IV
